Acc;Gyr;Label
0,001973795;4,76509E-05;Ride
0,000849003;0,000309512;Ride
0,000959794;0,002725717;Ride
0,001104096;0,000636066;Ride
0,000710046;0,000195507;Ride
0,000509327;0,000576027;Ride
0,002347411;0,007616717;Ride
0,038628383;0,044938312;Ride
33,89245714;0,236146036;Ride
0,547248194;0,047627511;Ride
2,045373271;0,001748276;Ride
0,014134764;0,001626022;Ride
0,113475374;0,003172584;Ride
0,003711459;0,001010689;Ride
0,000489969;0,000231059;Ride
0,006167301;0,211442618;Ride
0,093453494;0,001122215;Ride
3,50605E-30;3,42388E-33;Ride
0,236153679;0,130400714;Ride
0,000824858;2,22323E-05;Ride
0,00068082;5,14907E-06;Ride
0,001271707;6,46227E-06;Ride
0,000375891;3,34053E-06;Ride
0,000898371;4,71558E-06;Ride
0,000963043;4,99541E-06;Ride
0,001581007;2,25103E-05;Ride
0,000405939;1,21178E-05;Ride
0,000499942;9,91159E-06;Ride
0,000900408;7,80939E-06;Ride
0,001063993;9,26793E-06;Ride
0,000907047;5,23044E-06;Ride
0,000536325;3,65582E-06;Ride
0,000904851;3,16316E-06;Ride
0,000934709;2,80794E-05;Ride
0,001484728;2,73076E-06;Ride
0,000428039;5,08402E-06;Ride
0,001056732;7,09616E-06;Ride
0,000679656;5,30521E-06;Ride
0,000823223;1,60798E-06;Ride
0,000554485;4,40098E-06;Ride
0,001003139;1,31051E-05;Ride
0,000391451;2,27104E-06;Ride
0,00058196;5,54362E-06;Ride
0,001269438;2,57508E-06;Ride
0,000559113;7,04751E-06;Ride
0,002019795;4,99816E-06;Ride
0,000437424;3,1748E-06;Ride
0,000635764;3,46391E-06;Ride
0,000690391;5,10063E-06;Ride
0,001458622;4,09676E-06;Ride
0,000900066;2,46966E-06;Ride
0,000982937;1,10028E-05;Ride
0,001035439;4,74833E-06;Ride
0,000467313;5,51957E-06;Ride
0,001276539;1,2491E-05;Ride
0,000948493;3,43096E-06;Ride
0,001088759;5,45423E-06;Ride
0,000702154;7,63614E-06;Ride
0,00038673;5,7699E-06;Ride
0,001776941;1,04464E-05;Ride
0,000411889;5,06299E-06;Ride
0,000430501;6,00701E-06;Ride
0,001304246;6,40838E-06;Ride
0,000680737;6,13008E-06;Ride
0,001350115;4,94682E-06;Ride
0,001341946;4,56561E-06;Ride
0,001389871;4,6915E-06;Ride
0,001033367;9,51515E-06;Ride
0,000450316;2,97462E-06;Ride
0,000514348;8,11213E-06;Ride
0,000959323;3,84684E-06;Ride
0,000354204;7,56452E-06;Ride
0,000891389;6,39759E-06;Ride
0,00101426;3,44742E-06;Ride
0,00042034;1,53492E-06;Ride
0,000517853;4,37471E-06;Ride
0,000667837;2,26753E-06;Ride
0,001238088;1,32102E-05;Ride
0,00058501;6,32083E-06;Ride
0,00047603;2,47918E-06;Ride
0,001270704;4,81658E-06;Ride
0,00063393;7,4049E-06;Ride
0,000449853;8,47827E-06;Ride
0,001170983;1,35784E-05;Ride
0,000829747;5,22446E-06;Ride
0,001670048;8,34845E-07;Ride
0,001311097;6,47639E-06;Ride
0,000577773;3,95202E-06;Ride
0,00031715;1,53319E-05;Ride
0,002047066;3,66823E-07;Ride
0,001418733;8,29912E-06;Ride
0,001999754;0,000173777;Ride
0,002465896;4,1739E-05;Ride
0,00045215;2,42747E-05;Ride
0,000504222;1,33857E-05;Ride
0,00103413;1,28E-05;Ride
0,00298891;1,22482E-05;Ride
0,001304026;1,80456E-05;Ride
0,000828073;0,000445054;Ride
0,000693757;0,001225019;Ride
0,011792794;0,017055003;Ride
0,006466487;0,052341756;Ride
0,002435471;0,026947876;Ride
0,001224828;0,001027122;Ride
0,004459073;0,007331035;Ride
0,002047982;0,012286957;Ride
0,002526355;0,015098084;Ride
0,003438046;0,017342367;Ride
0,00168424;0,014503938;Ride
0,008157027;0,043740014;Ride
0,005432872;0,035628737;Ride
0,005044305;0,016826659;Ride
0,017761864;7,5766E-05;Ride
0,009562872;0,002038352;Ride
0,017024748;3,88635E-05;Ride
0,02531377;2,60728E-05;Ride
0,032149917;1,96034E-05;Ride
0,053279334;8,00965E-05;Ride
0,043496399;2,22885E-05;Ride
0,078697969;9,31302E-05;Ride
0,04999463;9,69363E-05;Ride
0,062868213;0,00050755;Ride
0,012811522;0,001284667;Ride
0,510672254;0,001040651;Ride
0,467866248;0,001058323;Ride
0,314202561;0,006868216;Ride
0,221990208;0,000205832;Ride
0,025259454;3,25214E-05;Ride
0,044994117;0,000210055;Ride
0,032314081;0,000687345;Ride
0,019021488;0,003677546;Ride
0,034521492;0,009724719;Ride
0,02669539;0,003089747;Ride
0,032079804;0,08518197;Ride
0,038678914;0,024801348;Ride
0,008019276;0,029921273;Ride
0,022536075;0,002353579;Ride
0,00370767;0,004665249;Ride
0,039663219;0,045121583;Ride
0,20144628;0,067892357;Ride
0,012303829;0,000127276;Ride
0,001881271;3,67698E-05;Ride
0,001006531;0,00013694;Ride
0,000819516;1,88014E-05;Ride
0,000951278;5,56009E-05;Ride
0,001231234;4,71507E-05;Ride
0,000598502;1,60733E-05;Ride
0,001447554;1,95211E-05;Ride
0,000639086;6,45157E-06;Ride
0,000598512;1,19256E-05;Ride
0,001589524;4,39539E-06;Ride
0,000438052;1,51847E-05;Ride
0,001037119;3,35981E-05;Ride
0,001707957;1,21295E-05;Ride
0,000327622;8,73174E-06;Ride
0,001122822;2,53958E-05;Ride
0,000287185;1,22365E-05;Ride
0,001353308;9,93983E-05;Ride
0,00067958;4,62429E-05;Ride
0,002056569;0,000229318;Ride
0,001463536;0,00851672;Ride
0,00679226;0,002450414;Ride
0,00843962;0,00921401;Ride
0,006172278;0,001984873;Ride
0,016007789;0,005438969;Ride
0,01399775;0,073078215;Ride
0,03472444;0,000233318;Ride
0,047183767;0,000299192;Ride
0,088116162;4,27841E-05;Ride
0,175390609;0,000403572;Ride
0,211232491;0,01922578;Ride
0,081948019;0,125856944;Ride
0,099748665;0,024210626;Ride
0,267209941;0,155338274;Ride
